#,Item,Specification / Color,Qty,Price (INR),Price (USD),Link
1,"1.3"" I2C OLED Display",White,1,319.0,3.32,https://robu.in/product/1-3-inch-i2c-oled-display-module-4-pin-white/
2,ESP32-C3 Development Board,With soldering,1,279.0,2.91,https://robu.in/product/esp32-c3-development-board-with-soldering/
3,Boost Converter,1.5–4.2V → 5V,1,119.0,1.24,https://robu.in/product/1-5v-1-8v-2-5v-3v-3-3v-3-7v-4-2v-to-5v-boost-voltage-conversion-module-with-soldering/
4,TP4056 Charger,1A Li-Ion Charger + Protection,1,19.0,0.2,https://robu.in/product/tp4056-1a-lipo-battery-charging-board-micro-usb-with-current-protection/
5,WLY52535 LiPo Battery,"3.7V 450mAh, 1S",1,299.0,3.11,https://robu.in/product/450mah-pcm-protected-micro-li-po-battery/
6,Prototype PCB,"3×7cm, Double-Sided",1,69.0,0.72,https://robu.in/product/3-x-7-cm-universal-pcb-prototype-board-double-side-2pcs/
7,Long Female Header,"1×40 Pin, 2.54mm",1,98.0,1.02,https://robu.in/product/1x40-pin-2-54mm-straight-long-female-strip-connector/
8,Noel Solder Wire,"60/40, 1mm, 50g",1,309.0,3.22,https://robu.in/product/solder-wire-1-00mm-50gm/
9,BAKON Soldering Iron Tip,900M-T-I,1,115.0,1.2,https://robu.in/product/bakon-soldering-iron-tip-900m-t-i/
10,Multitec Wire Stripper & Cutter,150B,1,60.0,0.62,https://robu.in/product/multitec-150b-wire-stripper-and-cutter/
11,24 AWG Wire,"Solid Core PVC, Red",2m,20.0,0.21,https://robu.in/product/24-awg-solid-core-insulated-wire-pvc-red/
12,24 AWG Wire,"Solid Core PVC, Black",2m,20.0,0.21,https://robu.in/product/24-awg-solid-core-insulated-wire-pvc/
13,24 AWG Wire,"Solid Core PVC, White",2m,20.0,0.21,
14,2mm Heat-Shrink,Black,2,20.0,0.21,https://robu.in/product/heat-shrink-sleeve-2mm-black-industrial-grade-woer-hst/
15,2mm Heat-Shrink,Red,2,24.0,0.25,https://robu.in/product/heat-shrink-sleeve-2mm-red-industrial-grade-woer-hst/
16,3mm Heat-Shrink,Black,2,12.0,0.12,https://robu.in/product/heat-shrink-sleeve-3mm-black-industrial-grade-woer-hst/
17,3mm Heat-Shrink,Red,2,16.0,0.17,https://robu.in/product/heat-shrink-sleeve-3mm-red-industrial-grade-woer-hst/
18,4mm SPDT 1P2T Slide Switch,Slide Switch,4,11.4,0.12,https://robu.in/product/4mm-spdt-1p2t-slide-switch-pack-of-10/
19,Insulating Tape,Yellow,1,23.0,0.24,https://robu.in/product/insulating-tape-yellow%ef%bc%89/
20,M2 × 5mm Phillips Screw,SS304,10,20.0,0.21,https://onlyscrews.in/collections/m2-screws
21,M2 × 3mm Brass Threaded Insert,Brass,10,18.0,0.19,https://onlyscrews.in/products/m2-x-3mm-brass-threaded-inserts
22,Curved Tweezers ESD-15,ESD-15,1,35.0,0.36,https://robu.in/product/curved-tweezers-esd-15/
23,3D-Printed Case,Self-made,1,0.0,0.0,
,TOTAL,,,1925.4,20.06,
